|id|generator_name|country|ic_kw|technology|subsidy|accreditation|commissioned|rlf|alf|latest_data|latest_mwh_p_a|latest_rocs_p_a
8074|G02289NWSC|VICTORY 1 FULL|Scotland|60|On-shore wind|FiT|2015-07-13|2015-07-09|||2015-08|17.0|
8075|R00039NZNI|Ballyhomra Tradewinds - D, Y, (5/06/07)|NI|20|On-shore wind|RO|2007-06-01|2007-01-01|9.7%|14.3%|2014-03|25.0|50.0
8076|G01602PVSC|Dean Park Solar PV|Scotland|83|Photovoltaic|FiT|2016-08-28|2016-08-28|||2016-12|17.0|
8077|G06343PVEN|Aldi Handsworth Road|England|50|Photovoltaic|FiT|2015-04-16|2015-04-09|||2015-08|17.0|
8078|R00939NGNI|PV11034|NI|20|Photovoltaic|RO|2013-01-25|2012-12-13|||2014-03|17.0|
8079|R00453NZNI|Littlebridge|NI|11|On-shore wind|RO|2013-07-25|2013-07-24|||2014-03|17.0|
8080|R01059NGNI|Noel O'Connor Solar Hub|NI|20|Photovoltaic|RO|2013-02-22|2013-01-07|||2014-03|17.0|
8081|R00026NYNI|Ballywee Cornmill Hydro|NI|3|Hydro|RO|2012-06-15|2012-05-15|65.2%|72.2%|2014-03|19.0|
8082|R00169RZSC|Innes Wind Turbine|Scotland|11|On-shore wind|FiT|2009-06-29|2009-05-20|||2010-03|17.0|
8083|R00036NZNI|Point Road - D, M|NI|6|On-shore wind|RO|2006-11-01|2006-10-01|32.0%|31.4%|2018-03|17.0|33.0
8084|R01453NGNI|Loughview IPS PV|NI|20|Photovoltaic|RO|2013-06-04|2013-05-28|10.0%|10.0%|2018-04|18.0|62.0
8085|R00425NZNI|Lisnafillon Gaia|NI|11|On-shore wind|RO|2011-12-21|2011-11-21|18.8%|24.9%|2014-03|24.0|
8086|G05092PVEN|PottagePV|England|50|Photovoltaic|FiT|2013-08-23|2013-02-28|5.7%|8.7%|2017-04|38.0|
8087|G01806NWSC|Scroggie Farm Wind|Scotland|11|On-shore wind|FiT|2011-04-13|2011-04-13|17.7%|17.6%|2016-03|17.0|
8088|G05861PVEN|Aldi Hucknall|England|50|Photovoltaic|FiT|2014-11-26|2014-11-25|||2015-08|33.0|
